HotelName,Location,Price,Rating,Stars,City
DoubleTree by Hilton New York Times Square South,"Hell's Kitchen, New York","PKR 38,923","Scored 8.0 8.0 Very good 6,543 reviews",8 stars,New York
Hilton Garden Inn New York/Manhattan-Chelsea,"Chelsea, New York","PKR 43,684","Scored 7.7 7.7 Good 3,346 reviews",6 stars,New York
Hyatt Place New York City - Times Square,"Hell's Kitchen, New York","PKR 30,523","Scored 7.7 7.7 Good 19,816 reviews",8 stars,New York
Hilton Garden Inn New York - Times Square Central,"Manhattan, New York","PKR 36,123","Scored 7.9 7.9 Good 1,391 reviews",6 stars,New York
voco The Franklin New York by IHG,"Upper East Side, New York","PKR 78,127",Scored 8.4 8.4 Very good 420 reviews,8 stars,New York
Margaritaville Resort Times Square,"Manhattan, New York","PKR 42,606","Scored 8.5 8.5 Very good 5,035 reviews",8 stars,New York
"The Pierre, A Taj Hotel, New York","Upper East Side, New York","PKR 154,994",Scored 8.5 8.5 Very good 916 reviews,10 stars,New York
The Peninsula New York,"Manhattan, New York","PKR 250,623",Scored 9.1 9.1 Superb 347 reviews,10 stars,New York
Holiday Inn Express Manhattan Midtown West by IHG,"Hell's Kitchen, New York","PKR 27,722","Scored 7.2 7.2 Good 2,065 reviews",6 stars,New York
Element Times Square West,"Hell's Kitchen, New York","PKR 30,523","Scored 7.9 7.9 Good 7,126 reviews",8 stars,New York
