HotelName,Location,Price,Rating,Stars,City
Murray Hill East Suites,"149 East 39th Street, Murray Hill, New York, NY 10016, United States of America ","PKR 1,761,096",Scored 8.2 8.2,3 star,New York
Luxury 2BdRm Apartment Midtown NYC,"635 West 42nd Street 55 V, Hell's Kitchen, New York, NY 10036, United States of America ","PKR 2,702,977 ",N/A,4 star,New York
Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South,N/A,"PKR 10,035,814",Scored 8.3 8.3,4 star,New York
"voco Times Square South New York, an IHG Hotel",N/A,"PKR 7,768,267",Scored 7.9 7.9,4 star,New York
The St. Regis New York,"Two East 55th Street at Fifth Avenue, Midtown East, New York, NY 10022, United States of America ","PKR 33,960,821",Scored 8.3 8.3,5 star,New York
AKA Times Square,N/A,"PKR 5,324,954",Scored 8.6 8.6,4 star,New York
Modern Midtown East Apartments in NYC,"Midtown East, New York, NY 10022, United States of America ","PKR 1,166,657",Scored 8 8.0,3 star,New York
AKA Central Park,N/A,"PKR 10,661,020",Scored 8.1 8.1,4 star,New York
"The New Yorker, A Wyndham Hotel","481 Eighth Avenue, Hell's Kitchen, New York, NY 10001 , United States of America ","PKR 9,626,762",Scored 7.7 7.7,4 star,New York
YOTEL New York Times Square,"570 10th Avenue, Hell's Kitchen, New York, NY 10036, United States of America ","PKR 6,933,830",Scored 7.4 7.4,4 star,New York
Steps From Times Square,"532 9th Avenue, Hell's Kitchen, New York, NY 10018, United States of America ","PKR 6,242,030",N/A,0 star,New York
Private Townhome near UN,N/A,"PKR 11,742,400 ",N/A,3 star,New York
Hudson Yard 408,N/A,"PKR 1,574,612",Scored 4.6 4.6,1 star,New York
Cozy Loft at Chelsea West,"401 West 33rd Street 6A, Hudson Yards, New York, NY 10001, United States of America ","PKR 7,370,354 ",N/A,3 star,New York
Private Beautiful Townhome w Zen Garden,"323 East 51st Street, Midtown East, New York, 10022, United States of America ","PKR 7,666,601",N/A,3 star,New York
The Plaza,N/A,"PKR 16,998,466",Scored 8.4 8.4,5 star,New York
Hudson Yard 408,"330 West 36th Street, Hudson Yards, New York, NY 10018, United States of America ","PKR 8,749,925",Scored 1.5 1.5,0 star,New York
Hudson Yard 408,"330 West 36th Street, Hudson Yards, New York, NY 10018, United States of America ","PKR 6,374,945",Scored 3 3.0,0 star,New York
Hudson Yard 408,"330 West 36th Street, Hudson Yards, New York, NY 10018, United States of America ","PKR 12,749,891",Scored 1 1.0,0 star,New York
Hudson Yard 408,N/A,"PKR 28,333,091",N/A,0 star,New York
Hotel 31 Extended Stay,"120 East 31 Street, NoMad, New York, NY 10016, United States of America ","PKR 1,073,491 ",Scored 8.6 8.6,2 star,New York
Global Luxury Suites at Hoboken Waterfront,"333 River Street, Hoboken, NJ 07030, United States of America ","PKR 1,977,483",Scored 9 9.0,4 star,New York
Best Western Premier NYC Gateway Hotel,N/A,"PKR 2,461,285",Scored 8.3 8.3,3 star,New York
Moxy NYC Lower East Side,"145 Bowery, Lower East Side, New York, NY 10002, United States of America ","PKR 8,209,374",Scored 8 8.0,4 star,New York
The New York EDITION,N/A,"PKR 11,364,069",Scored 7.9 7.9,5 star,New York
Wyndham Garden North Bergen - Secaucus,N/A,"PKR 3,949,688",Scored 7.7 7.7,3 star,New York
